x;y
0.669;14.273
1.449;14.898
2.23;15.524
3.01;16.149
3.79;16.775
4.57;17.4
5.35;18.026
6.131;18.651
6.899;19.292
1.296;13.494
2.076;14.119
2.856;14.744
3.636;15.37
4.417;15.995
5.197;16.621
5.977;17.246
6.757;17.872
7.526;18.512
1.922;12.714
2.702;13.34
3.483;13.965
4.263;14.591
5.043;15.216
5.823;15.842
6.604;16.467
7.384;17.092
8.152;17.733
2.549;11.935
3.329;12.56
4.109;13.186
4.889;13.811
5.67;14.437
6.45;15.062
7.23;15.688
8.01;16.313
8.779;16.954
3.175;11.155
3.955;11.781
4.736;12.406
5.516;13.032
6.296;13.657
7.076;14.283
7.857;14.908
8.637;15.534
9.405;16.174
3.802;10.376
4.582;11.001
5.362;11.627
6.142;12.252
6.923;12.878
7.703;13.503
8.483;14.129
9.264;14.754
10.032;15.395
4.428;9.597
5.209;10.222
5.989;10.848
6.769;11.473
7.549;12.099
8.33;12.724
9.11;13.35
9.89;13.975
10.658;14.615
