x;y;z;view;pr
465433.7032;6060136.329;4.36277;N;3
465434.3673;6060136.585;4.36426;N;3
465433.9489;6060136.538;4.65011;N;3
465433.6366;6060136.497;4.83866;N;3
465434.3019;6060136.753;4.84038;N;3
465433.6598;6060136.4;4.37585;N;2
465434.3227;6060136.66;4.37824;N;2
465433.9225;6060136.564;4.67734;N;2
465433.6211;6060136.493;4.87523;N;2
465434.2876;6060136.75;4.8777;N;2
465433.6156;6060136.481;4.38082;N;1
465434.2801;6060136.738;4.38207;N;1
465433.9028;6060136.584;4.68712;N;1
465433.6167;6060136.475;4.88985;N;1
465434.2833;6060136.73;4.89115;N;1
